cluster_id,summary,original_reviews
137,"samsung g iiy andoid bought two, one for me, and another for my husband. it comes from 'a quality manufacture of memory products'","[""bought this as an upgrade from having an 16 gb for my android phone, not that i need all the extra space but it's nice to have handy. this will accommodate more pictures and videos that i take with my phone and among other things without having to worry about running out of space, for now. packaging was good. arrived on time, having amazon prime, that's something you don't have to worry about."", ""i got it when it was on sale 66 off list price! and already it has paid for itself. i'm glad to be able to have more memory for my tablet and am very happy that it comes with and sd card adaptor so that i can transfer pictures straight from my camera to my table."", ""love having all this extra space available. sux that in future phones, android is moving away from sd slots. i love having physical storage available, if i delete something from the cloud i can't recover it. with this that's not a worry.the only reason i didn't give it 5 stars, is because sometimes it feels a little slow. but it's nothing i can't deal with."", ""these days, who doesn't need plenty of storage to move your apps, photos and other stuff to keep your phone running smoothly? great price with no chance running out if space for a long time."", 'great price and works great with my samsung galaxy s4.such a relief not having to worry about space for pix and apps.', ""this was pretty awesome and cheap, i had just bought my galaxy s4 and figured i'd upgrade my sd card from the 32 i had, its nice to have since the s4 inexplicably has almost no internal storage, still awesome phone though, but we're not talking about that today."", ""since my wireless carrier didn't sell a s4 version with more than 16gb of memory, i wanted something to add a bit more storage space to my phone. got this on sale for 42.99 and i couldn't be happier with how it performs so far."", 'these are such great tiny things and hold so much on my tablet and smartphone. love them so much, i just got a 32 gb one.', 'bought two, one for wife and one for self. great price and fills the bill. great expanded memory for my samsung g iii andoid.', 'bought two, one for me and one for my husband. works great. feels good to have a lot of space on my smart phone to save pictures, movies taken, etc.', 'i wanted extra storage for my phone and this 16 gb is a perfect fit and the price was quite reasonable plus it comes from a quality manufacture of memory products.', ""seriously, these are the best ones to get for the price. if you pay over 28 dollars for these somewhere else, don't. perfect for any phone or cameras or there. it's high class and the gb's is plenty for any average user. in fact i'm a heavy use of data and i never use more than 32gb. if i do i know where to get more"", 'i bought this for my wife when it was on sale for black friday 2013, and has been coming to good use since. she appreciates the fact that she has extra other than built in storage for her phone to be able to hog on to more pics, music, and games. great deal on a great product.', 'i got it at a good price, and it is nice to have 64gb of extra space for media to use in my phone.']"
138,the galaxy s3 phone has 16 gb internal memory and you can't use it with it. it comes with an adapter and a card reader for storage.,"[""purchased this for my galaxy s3 phone. the phone has 16 gb internal memory and you can't use this with it. luckily it came with an adapter and i use it in my card reader for storage. i go from the pc to the phone. its worth the money but remember its useless with the galaxy s3"", 'replaced 16 gig in my android phone, motorolla atrix 2. works great. no issues. been going strong for months now.', 'great buy for this sandisk 16 gb memory. worked well in my samsung s4 smartphone. i mainly use the extra memory to save photos and music. like the adapter that i use frequently to copies files to my desk top pc.']"
139,macbook air can only achieve 4 9 mb d of write read speed. exfat is used as oppose to ntfs if it is a sd slot for macbooks air's internal slot. i am very disappointed that the computer can achieve the 4-9 bbd read rate.,"[""it may be that the internal sd slot of the 2012 mac book air is not too fast perhaps? i am very disappointed that i can only achieve 4 9 mb s of write read speed. makes me remember speeds of 5 years ago. again, this may be the computer's fault, but i am not too happy..."", ""i purchased the card in the sandisk packaging, so i am pretty sure it is genuine. i tested it with various programs on the web that apparently can detect whether they are fakes or not. this one turned out to be a real sandisk card. the card came formatted with fat32.i read on the web about these micro sds, and apparently they are not as fast as the full sd card version. i borrowed my brothers sandisk 32gb full sd card to make comparison tests. here are my official unofficial test results using diskbench v2.6.2.0 and h2testw 1.4 test. i will give the results as an overall result, because after testing these cards over and over with speed writes and reads, the results get mixed and varied to a big degree... much larger than i expected, but the numerous tests showed me a general trend. the trend is that the full sd cards do write faster than the microsd card. but, also remember that the microsd had to be put into an adapter to do the test on my pc while the fullsd card was put into the computer reader directly.these are just my averages, but small file writes both sd cards wrote at close to 10mb sec. the microsd was less consistent in the tests and sometimes dropped to 8mb sec.small file reads both sd cards read at close to 20 mb sec at their fastest.large file copies to card microsd wrote at 3.5mb sec while the fullsd wrote at about 4mb seclarge file reads copies from card microsd was 10mb sec while the fullsd read at about 14mb sec.my conclusion my tests were by no means official for this card and showed much variance dependent on file size of the reads and writes, but the fullsd card was faster in many cases, but equal to microsd in most cases. the small file writes and reads showed that they are similar enough. but, my only concern is with large file writes.... is 3.5 mb sec good enough for rapid photography on a high pixel camera? i don't know. i have had no problem using these cards with h264 movie capture for hours. i am surprised that 3.5 mb sec is enough.also, never during the huge file copies to the card did i get any noticeable heating of the card itself, by touch even for an hour. i've noticed that it has been a complaint from many people on the web, some stating that they felt they might burn themselves. i copied files that took more than an hour with no noticeable temperature change, other than, perhaps a couple of degrees. of course, this was on a pc and not installed in a camera.the card performs well for video work, and appears to meet many other tests performed by other people. i never saw a read close to 30 mb sec... they were very consistent at 20 mb sec at the highest performance.i would get the card again, if the price were right."", 'there is a speed penalty if exfat is used as oppose to ntfs.using atto and formatted as exfat read speed 45mbswrite speed 15mbsusing atto and formatted as ntfs read speed 45mbswrite speed 17mbswith exfat, the write speed actually fluctuates as the transfer size increases. but using ntfs, the speed are consistent.tested on lenovo t530 using built in sd card reader.', 'it writes according to sandisk app test only with the speed of 16mb second. i have expected a little more than that.']"
140,"read bandwidth appears to be 18.1 mb sec. as advertised. can't comment on reading speeds, but my flac audio files run smoothly on sansa. sandisk have never failed, in other cards so this will hold up to that i am very satisfied with the price and a limited lifetime warranty.","[""the read and write speeds are better than the samsung sd card that i had previously. i would not hesitate to buy another one of these great micro sd cards from sandisk. i also own their clip plus mp3 player and it works very well. i think i'm becoming a fan of the sandisk products."", 'great card for a great price read and write speeds are on par with what is posted on the specifications detail report.', 'i have bought it for around 6 months. it works good so far both read write speed meet the described specification.', 'super fast reading and writing. this thing performs under extreme condition writing multiple large files, videos and photos, all at the same time. have owned it for about 2 weeks now, and extremely happy with it.formatting is super easy and fast', 'i did not do any bench tests to see to verify the read and white but been very happy with it.', ""it reaches read speed of about 24mb s and write speed of about 18mb s at optimal situation.other than the speed, everything is fine. i'd like to say the color is quite a good thing, because microsd could be so small that you put it away for a few seconds it will easily disappear. with the bright read and light grey color, it is much easier to find, because it will not blend into common background.also, the quality looks good, not like some of the microsd cards, this is a unibody design that you cannot tell from appearance that where is the circuits. the sd card adapter come with it is in quite good quality too.in summery, good design, good quality, not too satisfying speed. it will be a judgement call to say if it worth it or not. but to me i can totally go with it."", 'use it in my ainol spark, and it gets great read write speeds. dont ever use your available past 90 or you will corrupt your sd cards in a very short time. so available is 29 gig, and dont go over say.. 26 and you will likely never get a problem with it.', 'i found the write bandwidth of this card is 15mb sec when transferring a steady stream dozens of gigabytes. the included full sized sdcard adapter appears to be slightly faster than my usb adapter. i tested by piping dev urandom through pv onto the card. read bandwidth appears to be 18.1 mb sec.', ""as advertised. good write and read speeds and works well with new microsoft surface. only complaint is there was a significant price drop after i purchased this card. but that's not amazons fault nor the product."", ""can't comment on reading speeds, but my flac audio files run smoothly on sansa. sandisk have never failed, in other cards so i assume this will hold up to that, if not, i'll update."", 'product is as expected. crystaldiskmark 3.0.1 x64 c 2007 2010 hiyohiyocrystal dew world ... mb s 1,000,000 byte s sata 300 300,000,000 byte s sequential read 32.903 mb ssequential write 10.263 mb srandom read 512kb 31.584 mb srandom write 512kb 5.485 mb srandom read 4kb qd 1 3.296 mb s 804.8 iops random write 4kb qd 1 0.894 mb s 218.1 iops random read 4kb qd 32 3.002 mb s 732.9 iops random write 4kb qd 32 0.617 mb s 150.7 iops test 1000 mb f 0.0 0.0 29.7 gb x5 date 2012 12 12 17 12 51os windows 7 home premium edition sp1 6.1 build 7601 x64', ""hard for my mac to read. mhz be mac, might be card. it's fast in a gopro, no real complaints"", 'both of these items arrived on time and tested out at 9.8mb s write and 19.8 mb s read using h2testw.exe. 500 mb file size . i would have given them 5 stars if the write speed was just a bit faster.', 'it is all you can expected for a 32gb sd card. i never tested the read write speed but it never had a problem for music and videos.', ""great read and write speed compared to my old transcend, of course that was a 4 class. and this is a uhs 1. i am very satisfied with the price i got it at, and sandisk limited lifetime warranty.oh yeah i asked for the original manufacturers packaging, but i got amazon's frustration free packaging instead. no big deal though."", ""writes reads really fast. the card that came with my dash cam would pause about 11 seconds between files. with the ultra there is only a one second pause. now i won't be returning the dash cam. highly recommend!"", 'very impressed with the speed of this 32 gb micro sdhc. very good performance for data read and write .', 'used the h2testw software to check the read write speed and got write 9.8mb s and read 16.6mb s. i have no complains.or, should i have no complains?warning only 1000 of 15185 mbyte tested.test finished without errors.you can now delete the test files .h2w or verify them again.writing speed 8.98 mbyte sreading speed 16.4 mbyte sh2testw v1.4compared to the 4x cardwarning only 1000 of 14737 mbyte tested.test finished without errors.you can now delete the test files .h2w or verify them again.writing speed 4.39 mbyte sreading speed 16.4 mbyte sh2testw v1.4', 'good quality sd memory. the speed suggested is true for the read speed. the write speed is slower, around 15mb s.', 'pretty much as stated above. write rate holds up well from small files to large files. reads vary from 25 33mb sec but holds pretty steadily via card reader in supplied sd adapter , through motorola photon q, and through the sandisk sddr 121 a11m adapter via usb 2.0 and on either pc i have', ""it's an sd card, this one's fast. the read and write speeds are pretty equal on this one. approaching 20mbits per second for read and write. i installed linux to this drive for my cubieboard. yeah, read and write speed would definitely be an ultimate determiner of over all system performance with this credit card sized computer.sandisk makes nice stuff don't they?"", 'very fast read and write, works great right out of the box. would buy again if i need another one.', 'as described. took 3 weeks to arrive from china but its the real thing, same as picture. speeds are good, 30mb s read, 10mb s write.']"
141,the micro storage fits the phone perfectly. the storage works great and lots of storage - and he wouldn't hesitate to buy again. i bought 2 of these and am very happy with both.,"[""i purchased 2 of these and am very happy with both. good transfer rates. i found my last sd card caused the camera in my phone to delay when taking shots, but this one allows my phone to take pic's very quickly!"", ""fast transfers. i was hesitant to buy a larger micro storage, thinking that it would be easy to damage. this storage fits the phone perfect, and i wouldn't hesitate to buy again."", 'i bought this to upgrade my phone micro sd, works great and lots of storage. i have not been able to test the speed of the transfer as google has chosen to turn against their customers and disable any ability to connect phones to pcs in a normal since.']"
142,the card works fine in my galaxy s3. it only takes a few minutes to transfer 20gb at the same time. now it will not read in the phone or laptop or friend if it reads in your laptop - or in ipad / laptop.,"[""i'm not a techie, so i can't do all those great experiments to determine whether or not the transfer speed is as advertised. all i know is, the card works just fine in my galaxy s3. so far, it has worked great, and seems to be pretty speedy.i have san disk cards in quite a few of my tech toys, and they've always performed well. i am confident that this one will do the same."", ""i hate how people complain the transfer speed isn't the 34 promised 34 30 mbs. it even says in the fine print that it depends on the product you are using the card on. i bought this to upgrade my galaxy note 2s memory. bought on sale for about 20 and amazon credited me the difference when it went on sale a week later for 17 . very satisfied great product and great customer service. thanks amazon!"", 'i have gotten up to 15 expecting 30 is unrealistic i suppose and consistently gotten 11 to 13 mb s with this which is fast enough so that it only takes a few minutes to transfer 20gb at a time. good little sd card for a good price. i have and will continue to reccomend this microsd. using in my evo lte phone.', ""decent transfer speeds out of phone..in phone sees around 10 12mb s down to 5. this card is nothing to write home about however, as it only lasted me 7 months. now it will not read in my phone or laptop or friend's phone. so now i lost all my files....i recommend you store your vital files in the phone.""]"
143,the samsung galaxy note is a very fast phone and has no problem installing in it. it's ok.,"[""still don't feel is very fast or is just my phone, i guess i will need to remove it and run some r w tests. still its ok."", 'got extremely solid speeds with it, no slack on my android. solid micro sd card with gigantic space.it works. awesomely.', ""i bough it because it said it was fast, but not. i'm only getting 13mb s with an galaxy note ii a very fast an excellent phone."", 'very fast as advertised and had no problem installing in my samsung galaxy s3.would highly recommend this product to anyone with a galaxy s3 s2', 'muy bueno, realmente es rapido como dice, mi galaxy s2 arranca mucho mas rapido que con la msd que ten a anteriormente que era clase 4', ""shipped quickly, plug and play just like it says, and i haven't noticed any bottlenecking on my phone due to slow speeds.""]"
144,the roms is faster than a 200 300kb on my galaxy s. it gives me extra storage space for the phone it's much faster. if you don't need to transfer big files it is much quicker than his usual speed.,"[""i do not get the advertised speed of 30mb s, more like a 200 300kb s on my galaxy s4. at least it gives me a lot of extra storage space, for a phone it works nicely if you don't need to transfer big files."", ""transfer speeds from just moving files to my phone as well as rooting and adding various roms was much faster than i'm used to. i haven't done any official benchmarking though.""]"
145,"super fast compared to no name 34 class 10 34 cards. used it on my dji phantom gopro black, not one hickup.i would buy again only cheaper.","[""super fast compared to my other cards. didn't do any tests, but this is much faster than no name 34 class 10 34 cards."", ""very fast! decent price.i use this for my phone, and it does the job. never had any problems, it's a class 10 card so it has plenty of speed for reading and writing. will buy again"", 'fast as it gets. even in my phone this thing rocks! in a camera you can almost slow down time itself.', 'ultra quick. you can take several pictures in sequence and this memory keeps it pace. even at movies it shows its speed.', ""super fast, keeps up with my camera speed. i have purchased 3 total and love every single one. wouldn't buy any other card."", 'fast, used it on my dji phantom gopro hd black, not one hickup.i would buy again only cheaper. you get whacha pay for', 'fast. however, im not sure if this card case is any more water proof than a normal card. i have been told all of them are water proof. i think this card is faster than several others i use though', 'very fast, this is the best one you can get. i use it on my asusprime and i could see the difference with the previous one.']"
146,"great storage, has not failed yet after about a year of usage. good storage and small! works well and does everything i need it to plus it came in at 'good price'","['great storage, has not failed yet after about a year of usage.', 'excellent storage and small! works well and does everything i need it to plus it came in at a good price.', 'good storage']"
147,64gb version works great with my samsung phone. it's faster than my 2 year old 16gg microsd cards - and works just fine with a 'boss',"['installed this big baby in my s4 lay night and it is rocking and a rolling did first test think i got 26mb read which i am plenty happy with i was moving things onto the card also i think so not sure how much faster it can go computer i am sure it will be faster', 'this is definitely faster than my old 16gb card and seems to work just fine so far in my s4. have used it a lot for the last few weeks.', ""it's faster than my 2 year old 32gb micro sd cards, and this 64gb version works great with my samsung s4 phone. i didn't even need to format the card, it came pre formatted, fat32 i think.""]"
148,performance and capacity were not in line with cost and expectations. price of storage is very low and the cost of the storage was too high compared to the previous sales.,"['what can you say beyond the headline. it works as expected. i would buy more when i need reliable storage.', 'performance and capacity were not in line with cost and expectations. these are most likely counterfeit or back door sales in my opinion. very unsatisfied.']"
149,i bought this for my father and he definitely enjoys the extra storage space. the product was excellent and was quick to install - and it was a great deal!,"[""excellent product. great storage capacity. super fast. delivery was excellent as alwayspros everythingcons noneputting in more so i make 20 words. not much to say, it's a perfect product. exactly what it says it is"", ""excellent price for the amount of storage and speed. i just washed this in the washing machine and was preparing to buy another. after checking it for errors it came up with none. needless to say i don't have to buy another but did feel compelled to write a review. cheers!"", 'love the large storage space, great when you get a less expensivettablet and make it better than an expensive one.', ""i've heard horror stories about other models but this one is good and it really makes life easier and allows for plenty of storage."", 'fast access time amazing amount of storage in such a small size.and the price was impressive,could not beat it!thanks amazon!', ""lot's of storage for little money. there is nothing not to like...except i have to keep writing words because there is a minimum required to rate products on amazon probably the only thing i don't like about amazon . i don't like that, but this was a great deal."", 'this product has served me well for the last two months. it has a lot of storage and it was reasonably priced.', 'there is nothing really to say except that i love having this much storage and not having to worry about running out.', ""no much to say it is worth every penny! just choose the amount of space you want and you're done!"", 'great price and works great. if you want more storage at a reasonable price, i would highly recommend this product.', 'best price deal for me getting a good name brand. have not actually used the storage to date. glad to have the storage.', ""i bought this for my father and he definitely enjoys the extra storage space. who wouldn't. it came in a timely manner and was easy to install.""]"
150,h.rhodes can't beat the price. amazon and only amazon.,"['best price anywhere!!!', 'no comment bought for a friend. no comment bought for a friend no comment bought for a friend.', 'a fantastic discount and remarkable value for a name brand product that would cost three times the amount that i paid', ""i only buy thru amazon i've tried ebay and you always come thru and i got messed over four times and no real recourse you just lose and paypal is nobodies pal. and these no more rack are terrible and all these others take my advise stick with the one that has always came thru every time for me. amazon and only amazon . h.rhodes"", ""can't beat the price."", 'i can always count on a good bargain on amazon. not only is the price good but their prime program has saved me big time...', 'came in fast and managed to get it at a gold box discount, seven more words are required? thats cool i guess.', 'got this on sale! what a deal!', 'balance of trusting the name on the brand price. felt like the price i paid was a good value.', 'much cheaper than in the store and is just as described in the listing. i like it and would order again. perfect fit', 'great price', 'responsible seller. excellent product', 'reasonable price, good quality. not much more needs to be said.', 'a name you can trust. good price, now i just have to figure out how to use it in my note.', 'name brand, great price, great shipping', 'exactly what it says and cheap']"
151,64gb card is a great card to hold stuff. e890 optimums g pro vs 32ga class4 card 10 on the 'e 890 maxs' card.,"['not bad, i doesnt feel any quicker than a normal 32gb card. and you only get 27gb of storage. 20', ""super fast, tons of room. who wouldn't love this micro sd card? the price is even great. i've been using it on my phone for about 6 months now and i've had zero problems. it sped up the processing time of my camera app considerably."", ""i was reading some reviews about this and honestly i really don't notice the speed. but the storage of it is epic. 64gb card 32gb phone ... a lot of information.... and i save and store alot of things. for me its a great card to hold stuff and a speed i really don't noticed, however i want to add that this card is not slow i just don't notice the difference using a 32gb class4 vs 64gb class10 on a e890 optimums g pro""]"
152,"the micro sd was ok, tested it and worked but never really used it because its too big. the test results from my older but still functional 32gb class 4 - a'sandisk' card that has been removed and then neither the phone nor any reader.","[""i'm not going to give you a detailed speed and what not but this sd card is fast compared to the other ones. you wouldn't really notice the difference in speed unless you're copying a huge file. i use this on my note 2 and i take a butt load of pictures with my phone."", 'this ultra micro sd card is faster than the standard micro sd cards. however the adapter provided with the card is not good. data transfer was quicker when used with a different adapter than the one provided with the micro sd card', 'far faster than 34 stock 34 memory cards, and plenty of speed to boot.for my usage it is more than enough to cover what i need, sure it may not be the absolute fastest memory card in existence, but at under a dollar a gb, it handles my basic needs with ease.', ""i have many microsd cards like many of you guys might too. it's definitely faster than other microsd cards that i've used before. i'm happy with it."", ""ok, this won't be a technical review or a rating of measured speeds. it is simply a review from a consumer point of view. i have bought a couple of these microsdxc memory cards for tablets, and have seen no lag in saving data. i also use them for digital cameras, and have been very happy with the record time it's instant. you can get into the mb s on various cards, but usually, the difference is not something that anyone would notice or see. for the price, this is an excellent memory card, and i would highly recommend it."", 'in real life use copying compressed files to and from the card it clocks in at barely over half the advertised speeds about 16mb s read and about 7.5mb s write, as averaged between testing on several sd slots some usb connected, some pcie connected on several computers, plus a just released smartphone. very unimpressed by the 34 up to 34 marketing of sd card vendors and makers.the actual raw size is also about 59.5gb, which i find fascinating for a flash device, which is only ever manufactured with powers of two components. 1kb 1,024b', 'much faster than my other microsd cards, most if which are class 4. in a galaxy s3 now, fast enough not to slow it down when loading files music photos. did not benchmark...', 'this card it pretty fast. i very little between difference between the speed internal storage and the sd card.works great.', ""its so much faster than normal sd's. i recommend this micro sd. it flies!the card reader was ok, tested it and worked but never really used it because its too big"", 'this was the fastest microsd card i have tested, unfortunately it died after about four months of use in my android phone. at first my phone would randomly say the card had been removed, then eventually neither the phone nor any reader i had could access it.the test results from my older but still functional 32gb class 4 sandisk sequential read 23.022 mb ssequential write 4.460 mb srandom read 512kb 22.387 mb srandom write 512kb 3.144 mb srandom read 4kb qd 1 3.414 mb s 833.5 iops random write 4kb qd 1 1.231 mb s 300.5 iops random read 4kb qd 32 3.309 mb s 807.8 iops random write 4kb qd 32 0.993 mb s 242.4 iops compared to this product, 32gb class 10 sandisk sequential read 41.492 mb ssequential write 15.653 mb srandom read 512kb 43.380 mb srandom write 512kb 17.685 mb srandom read 4kb qd 1 4.696 mb s 1146.5 iops random write 4kb qd 1 1.595 mb s 389.4 iops random read 4kb qd 32 4.859 mb s 1186.2 iops random write 4kb qd 32 1.334 mb s 325.6 iops']"
153,"it worked as described, good packaging, fair price, and no issues with the product up to this point. thanks for making the mistake of leaving the car in a flat and had to buy 4 new tires if he didn't have to use it.","[""it was good until i lost it in the house. i think they should put a big ass light on it so i won't loose it."", 'works as described, good packaging, fair price, and i have no issues with the product up to this point. thanks.', 'made the mistake of leaving it in the car when i had a flat and had to buy 4 new tires. went missing at the dealership so i never got to use it.']"
154,"moto droid x2 card works great. it was easy to transfer the music and get it playing right away. sandisk ultra 32 gb allowed it to be played a bit - but not for me. this card was not that important for my android cell phone, so it wasn't necessary to get an class 10","[""i use this in my android phone, pretty much for mp3's to play in my truck. it certainly doesn't perform like a class 10 card when writing the files to it but not for me, wasn't that important."", ""my ipod finally bit the dust, so i bought this card to use in my galaxy 4 so i could use it as my new music player. it was very easy to transfer the music and get it playing right away. i can't complain at all, it was nice to be able to expand my storage on my phone enough with this that i didn't have to go buy another ipod. i have a lot of music and this thing holds it all and doesn't slow my phone down at all. no complaints here, i actually bought another one of these for my galaxy tab so i can keep all my music on that too. so it's safe to say i would buy it again."", ""bought this a few months back for my phone... but after switching phones to one that didn't support extra storage i reformatted and stuck it on my car stereo full of music. even at full capacity it has been there for months now playing without a hitch. music only take about 5 seconds after starting the car to start playing, skipping, fast forwarding or searching all works flawlessly. the stereo is to be given some props here but if the card wasn't up to par it clearly wouldn't be as fast as it is. very glad with the purchase. will buy again if the need ever comes."", 'works great in my android, fast, holds a ton of music and works well. how much can i say about a memory card.', 'card is fast and reliable in my galaxy note 2 cell phone. copied my whole music collection to it. no problems.', ""bought it for my android cell phone moto droid x2 and it works great. very fast, plays mp3s with no skipping, transferred apps that could be moved to the sd card with no problems to create more internal memory space. wasn't sure it was necessary to get a class 10 card, but this sandisk ultra 32 gb allowed me purchase a good quality card at a very reasonable cost.""]"
155,good transfer speed arrived fast and works with all my digital devices no issues. haven't tested the speed yet but should be more than adequate for data transfer - it was shipped to me well packed but not over tape up!,"['very fast transfer speeds and it feels like it is very good build quality. great price too and would recommend.', ""super fast transfer speed. very very impressed with the price as well. i'll be getting another no doubt. two words."", 'good transfer speed', ""arrived fast. works with all my digital devices no issues.haven't tested the speed yet but should be more than adequate for data transfer."", 'the transfer speed is good the picture quality is good it was shipped to me well packed but not over taped up']"
156,"great transfer speeds for my tablet. going on a month now and it works just fine. the product is very good, the speed transfer is ok.","['great transfer speeds for my tablet. going on a month now and it works just fine. highly recommend it to anyne.', 'everything is working as expected.the product is very good, the speed transfer is ok.i use it with my xperia smartphone', ""not much to say other than it is as advertised and it works. i haven't the means to gauge the transfer speeds but i've experienced no lags or delays with the combination of this storage and my hardware galaxy note ii .the shipping was faster than anything i received recently."", ""bought these for use in my kids' tablets, have not had any problems with them in several months of use, price was very good and transferring speeds are more than adequate."", 'slower than expected transfer rates when used with phones and tablets...i had expected higher transfer rates given the data class']"
157,"the card works perfectly on my android device samsung galaxy sii gt, cyanongenmod 10.1. the only downside the price is an expensive card.i use it for music playback, like poweramp, spotify and rdio.","[""i got this card for my phone. i was expecting a significant increase in speed. i have not really noticed any great speed improvements. the card is working great with no problems. just get a slower card for your phone, you won't notice the difference."", ""i bought this card as a music expansion for my samsung s4 and it handles that task deftly. i don't know how it would work in an intense need of speed environment, but it's perfect for my purposes."", 'i bought this sd card for use with my cell phone. it worked really well and as far as i could tell, transfers the data at a fast rate. no complaints.', ""i have this in my lg optimus f3 cell phone and i can't believe how fast the file transfer is. i can take pictures on this card as quickly as i can click the shutter button. i am very happy with the card and the price i paid for it."", 'this is a great speed card.more than 20 mb sec. works perfect on my android device samsung galaxy sii gt i9100 . also works perfect using cyanongenmod 10.1.the only downside the price. is an expensive card.i use it for music playback, like poweramp, spotify and rdio. works flawless.', 'the extra room on my phone is great but ive noticed since installing it that its a lil slow when transferring files from my phone to the card, its not like im sitting there forever but its a noticeable difference between my old card and this one', 'this card is fast enough to meet my needs on a galaxy note 3. plenty of memory for my pictures and files. no problems', ""i bought this memory card for my smartphone nokia lumia 521 when my older 8gb micro sd card died on me amazon basics brand .i threw on some mp3s on there to listen on my phone on my trip up the california coast since i knew some areas wouldn't have any radio or cell phone reception, and had no problems with it.i haven't done any speed tests on it as i'm not using it for anything that needs extreme speeds. its has more than enough speed for capturing video and and pictures.its a great deal for the amount of storage and its price.""]"
158,"note 3 ii phone is a good card with good speed and size for the money. it's also good for samsung, but not as fast as advertised most of the time. the phone fault is the phones fault.","[""not as fast as advertised most of the time, actually slowed down my note 3 when i filled it with movies leaving only about 8gb free, switched to a faster card due to that, but it could also be the phones fault. all in all it's a good card with good speed and size for the money."", 'using this in a samsung note ii phone and i get reads of 18m sec and writes of 9m sec. very pleased with the performance.']"
159,the sd card speed works great in my galaxy siii. the guidelines required 6 more words. fast no delays.,"['tested the sd card speed through the play store app, gets the speeds advertised and allows me to download more tv shows for my trips! perfect', ""no, i didn't do any speed tests.card works great in my galaxy siii.would leave it at that but the guidelines required 6 more words."", 'in my samsung note 2. fast no delays. transfers data in fon and to pc immediately. good value for a top rated card.', 'well works just like any other sd card i don t see ultra fast speeds or any thing. i shoved this guy into a galaxy s4 and it works fine!', ""super fast, works great on my samsung s4. had to make a few config changes on the s4 but that's not the card's problem""]"
160,"this item works as intended, well made, functions properly. it's never punked out on me, and it is delivered on time, reliable, priced fairly - i've been using mine for over a year now.","['does the job. no complaints so far.', 'this item works as intended, well made, functions properly. good level of comfort fairly cheaply priced wont need to replace any time soon', ""a fine product. i've been using mine for over a year now, and it's never punked out on me. i just bought another one, to use as a spare. delivered on time, reliable, priced fairly.""]"
161,"work good doing its thing, no complaints. work bad doing it, not complaining, and no problems - work well if it is a good thing.","['always good, what else can i say ?', 'working good.', 'work good', 'doing its thing, no complaints']"
162,if u have read any of my past reviews he hopes that they have helped a decision. 'i will be buying more for my airport boredom fighting collection',"[""my headline says it all! how can u go wrong? the price was better that what i was looking for. if u have read any of my past reviews i hope that they have helped of u're on the fence about a pending purchase or have nothing to base a decision on."", 'there is not much more you can ask for than that. i will be buying more for my airport boredom fighting collection.', 'i was looking for a while for one happy i found this the price was great bestbuy wanted double the price for it ill never buy on bestbuy again only amazon', ""i waited and waited to see this on the lightning deals, and i finally got it. it cost under 25.00, and i haven't found it cheaper since."", 'i bought this when it was on a special deal. am happy with my decision to purchase this and do recommend it.', 'this was purchased on a special and the price was right! it works great, plenty of storage space, and the great price sealed the deal!']"
163,"yes works! and why should i write more... damn it! eleven more words... finally am done with this, crap!! three more word?? yes!","['yes', 'works! and why should i write more..... damn it! eleven more words... finally am done with this, crap!! three more words??', 'yes!', 'does its job!', 'good', 'perfect', 'great', 'super']"
164,works as it should and has not had any issues with it so far. bought this thinking it would work and it does!,"['works as it should and have not had any issues with it so far. i also was able to purchase it here for much less then wal mart.', ""works. there's nothing else to say so yes it works, and yes it works. it also works, so it is pretty good."", 'works very good. i love this.', 'does as it is supposed to.', 'works great', ""works great. nothing more to say. you must change this policy, or i won't write any more reviews ever. y"", 'it works, so far, waiting for the heat and cold to see how well it will hold up.', ""either it works or it doesn't it works, it was a fair price and i am happy with it"", 'it works just like it should. it really does work like it should. i bought this thinking it would work and it does!', 'works great! what else can i say?', 'works great should last a long time!', 'yep. works like it should.']"
165,the camera rarely locks up when taking pictures back to back or shooting hd vid. it is great for any device that will accept microsdc.,"[""bought this for my wife's samsung tl240, which kept locking up with a lesser speed sd card. after throwing this card in there, the camera rarely locks up when taking pictures back to back. if you are shooting 10 mp and taking pictures back to back or shooting hd vid, it's a good idea to upgrade to a class 10 card."", 'great micro sd card for smartphones or other products. i wanted something with a high transfer rate so that taking hd video there would be no lag.', 'i bought this micro sd card for my samsung pocket camera.i was amazed at how much storage i could shoot video in hd 1080 on such a tiny card.so far it is performing nicely.', 'this is a really great micro sd card! i purchased one for my samung tablet and another one for digital video.', 'bought this micro memory card for my smart phone so i could take long videos on phone it working ok', ""i got this memory card for my daughter's samsung compact camera so she could store and save many pics which it holds thousands."", 'this card is great for any device that will accept a micro sdhc. class 10 write speed is a big bonus for recording high definition video! i am very satisfied with this purchase.', 'i got this for my samsung galaxy s3 phone for additional storage.i originally had another card in it that was apparently not fast enough or something and gave me errors while shooting videoit would let me shoot video but not watch them backthis card fixed this problem', 'good fast access memory card. i use it in my roku player, but it would work equally well in any device that required a micro card.']"
166,"this is perfect, you know, perfect!maybe because of the size... no mistake will happen.","['i am not always giving out good comment. but this is perfect, you know , perfect!maybe because of the size... no mistake will happen.', 'perfect just as described']"
167,"works great, it's the real deal not a fake, as one often finds on some websites great in the galaxy tablet.","[""works great, it's the real deal not a fake, as one often finds on some websites great in the galaxy tablet, and with an adapter, slots easily into my computer."", 'works well in our tablets and phones']"
